DA_losses,DB_losses,D_losses,G_losses,gA_d_losses_synthetic,gA_losses_reconstructed,gB_d_losses_synthetic,gB_losses_reconstructed,reconstruction_losses
1.6141785383224487,2.474678874015808,4.088857412338257,"[33.186710357666016, 0.6406304240226746, 0.5811922550201416, 13.551779747009277, 7.416702747344971]",0.6406304240226746,13.551779747009277,0.5811922550201416,7.416702747344971,20.968482494354248
18.336751222610474,9.35736346244812,27.694114685058594,"[17.331775665283203, 0.6803441643714905, 0.5300770401954651, 1.9475224018096924, 3.280041217803955]",0.6803441643714905,1.9475224018096924,0.5300770401954651,3.280041217803955,5.2275636196136475
13.267013788223267,8.996591567993164,22.26360535621643,"[13.694680213928223, 0.6657789945602417, 0.4787728190422058, 1.2101752758026123, 1.0389862060546875]",0.6657789945602417,1.2101752758026123,0.4787728190422058,1.0389862060546875,2.2491614818573
6.409888982772827,2.6312762200832367,9.041165202856064,"[12.083656311035156, 0.6245653033256531, 0.4305676817893982, 0.984792172908783, 0.5475339889526367]",0.6245653033256531,0.984792172908783,0.4305676817893982,0.5475339889526367,1.5323261618614197
4.617724180221558,0.8946911543607712,5.512415334582329,"[11.356057167053223, 0.5859187841415405, 0.39274975657463074, 0.984504222869873, 0.5848668813705444]",0.5859187841415405,0.984504222869873,0.39274975657463074,0.5848668813705444,1.5693711042404175
1.2598940134048462,0.5208473801612854,1.7807413935661316,"[10.67459774017334, 0.5288034081459045, 0.3722198009490967, 1.0126906633377075, 0.6516752243041992]",0.5288034081459045,1.0126906633377075,0.3722198009490967,0.6516752243041992,1.6643658876419067
0.4956384003162384,0.552156537771225,1.0477949380874634,"[9.655668258666992, 0.4778956174850464, 0.35024410486221313, 0.789196789264679, 0.5850734114646912]",0.4778956174850464,0.789196789264679,0.35024410486221313,0.5850734114646912,1.3742702007293701
0.46926434338092804,0.40824316442012787,0.8775075078010559,"[8.967267990112305, 0.44030261039733887, 0.332036554813385, 0.695602297782898, 0.5482734441757202]",0.44030261039733887,0.695602297782898,0.332036554813385,0.5482734441757202,1.2438757419586182
0.4339333474636078,0.4439973086118698,0.8779306560754776,"[8.594547271728516, 0.40711623430252075, 0.3213821351528168, 0.8002185225486755, 0.5093445181846619]",0.40711623430252075,0.8002185225486755,0.3213821351528168,0.5093445181846619,1.3095630407333374
0.416763111948967,0.45015017688274384,0.8669132888317108,"[8.138690948486328, 0.3872150778770447, 0.29508233070373535, 0.7535417675971985, 0.5621752738952637]",0.3872150778770447,0.7535417675971985,0.29508233070373535,0.5621752738952637,1.3157170414924622
0.42030180245637894,0.4189720004796982,0.8392738029360771,"[7.687036514282227, 0.35141193866729736, 0.29295092821121216, 0.740147054195404, 0.5032609701156616]",0.35141193866729736,0.740147054195404,0.29295092821121216,0.5032609701156616,1.2434080243110657
0.3965720534324646,0.37379156053066254,0.7703636139631271,"[7.515197277069092, 0.3387041985988617, 0.291149377822876, 0.6730518937110901, 0.5436095595359802]",0.3387041985988617,0.6730518937110901,0.291149377822876,0.5436095595359802,1.2166614532470703
0.37981607764959335,0.34007933735847473,0.7198954150080681,"[7.122658729553223, 0.3148161768913269, 0.2776692509651184, 0.6724051237106323, 0.5253990292549133]",0.3148161768913269,0.6724051237106323,0.2776692509651184,0.5253990292549133,1.1978041529655457
0.27357062697410583,0.2952822148799896,0.5688528418540955,"[6.462474822998047, 0.28551894426345825, 0.2586766183376312, 0.5145851969718933, 0.5059340596199036]",0.28551894426345825,0.5145851969718933,0.2586766183376312,0.5059340596199036,1.0205192565917969
0.3374670296907425,0.3454824835062027,0.6829495131969452,"[6.560952186584473, 0.27394720911979675, 0.2634575366973877, 0.6441499590873718, 0.5427548289299011]",0.27394720911979675,0.6441499590873718,0.2634575366973877,0.5427548289299011,1.186904788017273
0.2979828715324402,0.3165401667356491,0.6145230382680893,"[6.150873184204102, 0.2547118663787842, 0.2487909495830536, 0.5916403532028198, 0.5242045521736145]",0.2547118663787842,0.5916403532028198,0.2487909495830536,0.5242045521736145,1.1158449053764343
0.3174079358577728,0.31960539519786835,0.6370133310556412,"[6.136871814727783, 0.24688154458999634, 0.24876494705677032, 0.5902727246284485, 0.5901342630386353]",0.24688154458999634,0.5902727246284485,0.24876494705677032,0.5901342630386353,1.1804069876670837
0.35054565966129303,0.3708302974700928,0.7213759571313858,"[5.962482929229736, 0.22600354254245758, 0.24151533842086792, 0.6426732540130615, 0.6446207165718079]",0.22600354254245758,0.6426732540130615,0.24151533842086792,0.6446207165718079,1.2872939705848694
